,score,summary
0,0,"британский электромобильный стартап arrival, который основал экс-глава телекоммуникационного оператора yota и бывший замминистра связи денис свердлов, намерен прекратить деятельность в россии, сообщает financial times."
1,0,экс-председатель совета директоров новороссийского морского торгового порта (нмтп) рассказал в хамовническом суде о напряженных отношениях между братьями магомедовыми. в суде рассматривают иск генпрокуратуры по изъятию $750 млн.
2,0,"его кандидатуру выдвинули в начале февраля. как пишет focus, шрёдер сообщил, что отказался от предложения давно"
3,1,"как стало известно “ъ”, «аврора» андрея патрушева под новым названием «газпром шельфпроект» может стать основным подрядчиком «газпрома» по бурению на шельфе. под ее управление перейдет нынешний флот плавучих буровых платформ и судов снабжения «газпром флота». компания может консолидировать заказы «газпрома» и новатэка по бурению в акватории арктических морей. в «газпром шельфпроекте» заявили “ъ”, что рассчитывают стать «специализированным центром инженерно-технических компетенций для выполнения работ на морских месторождениях»."
4,0,"чистый убыток ""юнипро"" в 1 полугодии 2022 года по рсбу составил 12,8 млрд рублей против прибыли в размере 7,79 млрд рублей в 1 полугодии 2021 года, сообщила компания. убыток связан с проведенным в 1 квартале 2022 года обесценением активов в сумме 32 млрд рублей в результате изменения прогноза макроэкономических показателей на фоне геополитической обстановки.
валовая прибыль за 1 полугодие текущего года увеличилась на 60,8% и составила 16,7млрд рублей.
в 1 полугодии 2022 года выручка ""юнипро"" увеличилась на 20,9% по отношению к аналогичному периоду прошлого года и составила 54,7 млрд рублей."
5,0,"чистая прибыль тгк-2 по рсбу в 1 полугодии 2022 года сократилась на 41,6% в годовом сопоставлении - до 1,642 млрд рублей, следует из отчетности компании.
выручка снизилась до 22 млрд 869,3 млн рублей  это на 5,3%, чем в аналогичном периоде 2021 года.
в 1 квартале 2022 года чистая прибыль составила 2 млрд рублей против 2,6 млрд рублей годом ранее."
6,1,"по итогам первого полугодия 2022 года чистая прибыль ""русгидро"" порсбу выросла на 17%, до 34,7 млрд рублей, показатель ebitda увеличился на 13% до 56,3 млрд рублей, сообщила компания.
выручка без учета надбавки к цене на мощность в i и ii ценовых зонах, установленной для достижения на территориях дфо базовых уровней цен на электроэнергию, за первое полугодие 2022 года составила 82,9 млрд рублей, что на 10% выше показателя за аналогичный период прошлого года. изменение обусловлено началом реализации с 1 марта 2022 года электрической энергии нижне-бурейской гэс, ростом выработки электроэнергии гидроэлектростанциями в ряде макрорегионов россии, а также ростом цен рсв во ii ценовой зоне, что позволило компенсировать падение выработки на фоне низкой водности в реках сибири.
стоимость активов компании по итогамi полугодия увеличилась на 20,1 млрд рублей, до 1 056,6 млрд рублей. собственный капитал вырос на 1% до 838,8 млрд рублей.
размер кредитного портфеля ""русгидро"" уменьшился по сравнению с показателем на 31 декабря 2021 года на 14% и составил 98,3 млрд рублей, из которых долгосрочные заемные средства составляют около 50%."
7,0,компания пришла на российский рынок в 2005 году. свои активы в россии и белоруссии она оценивает в €400 млн
8,0,"финская gasum объявила, что не будет платить за российский газ в рублях, и готовится к остановкам поставок из рф. в результате финляндия может присоединиться к польше и болгарии, которым «газпром» прекратил поставки в апреле. gasum при этом собирается перенести в арбитраж прошлогодний спор с «газпромом» по условиям долгосрочного контракта. тем временем крупнейшие клиенты «газпрома» в германии и италии начали открывать счета в газпромбанке, чтобы платить за российский газ по новым условиям."
9,0,"после ухода с поста, который федун занимал более 25 лет, бизнесмен останется акционером компании. ранее в отставку ушел и президент лукойла алекперов"
10,0,"леонид федун покинул должность вице-президента лукойла, сообщили в пресс-службе компании."
11,0,"леонид федун покинул должность вице-президента лукойла, сообщили в пресс-службе компании."
12,1,"федеральная антимонопольная служба (фас) одобрила сделку по покупке производителем сыра «мультипро» компании «вимм-билль-данн напитки», сообщает в telegram-канале ведомства."
13,1,"антимонопольная служба одобрила сделку о приобретении лукойлом 99,9% ооо «шелл нефть», но с условиями: от лукойла требуют регулярно продавать нефтепродукты на бирже и не приобретать топливо в основную сессию торгов"
14,1,"фас россии продлила ранее выданное ао ""тандер"" (торговая сеть ""магнит"") предписание еще на год, сообщается на сайте ведомства.
речь идет о предписании, которое фас россии выдала ао ""тандер"" в июле 2021 года при удовлетворении ходатайства о приобретении торговой сети ""дикси"" и магазинов ""мегамарт"", которое предусматривает ряд строгих ограничений и требований.
благодаря продлению предписания ретейлеры продолжат соблюдать добровольно взятые на себя обязательства по установлению нулевых торговых наценок на отдельные позиции ряда товаров ""потребительской корзины"" и будут далее поддерживать социально незащищенные слои населения посредством реализации программы лояльности для пенсионеров, их родственников и лиц, ухаживающих за ними.
"
15,1,"фас разработала нормативы продажи газа на бирже для «газпрома» и независимых производителей, следует из сообщения службы."
16,0,"дело против компании открыли еще осенью прошлого года. регулятор пришел к выводу, что apple злоупотребляет своим положением на рынке, не позволяя оплачивать покупки в приложениях за пределами app store"
17,0,"вице-председатель и главный исполнительный директор американской корпорации xerox holdings джон висентин умер 28 июня от последствий болезни, говорится в заявлении на сайте компании."
18,1,"москва, 26 июл - риа новости. оператор газотранспортной системы (огтс) украины утверждает, что ""газпром"" без предупреждения увеличил давление в пограничном участке украинской газотранспортной системы, сообщает издание ""страна.ua"".
отмечается, что специалисты оператора якобы обнаружили резкий рост давления на участке газопровода ""уренгой-помары-ужгород"" вблизи границы с россией.
""изменение давления произошло без предупреждения со стороны пао ""газпром"", - говорится в заявлении украинского оператора.
как отмечает издание, украинская сторона проинформировала ""газпром"" о том, что несвоевременное сообщение информации о смене режимов может привести к внештатным ситуациям.
"
19,0,"власти украины призвали руководство американских и европейских банков разорвать связи с компаниями, которые торгуют российской нефтью, сообщает financial times."
20,0,убыток mastercard из-за ухода из россии во ii квартале составил $26 млн
21,0,первым на место гибели семьи бывшего топ-менеджера газпромбанка владислава аваева приехал его личный водитель. следственный комитет расследует дело об убийстве малолетнего ребенка и беременной женщины.
22,0,первым на место гибели семьи бывшего топ-менеджера газпромбанка владислава аваева приехал его личный водитель. следственный комитет расследует дело об убийстве малолетнего ребенка и беременной женщины.
23,1,"угмк искандера махмудова и андрея бокарева получила от газпромбанка права требования к золотодобывающей компании petropavlovsk. ранее угмк претендовала на покупку gv gold, но эта сделка приостановлена"
24,0,"бывший вице-президент газпромбанка владислав аваев, которого накануне нашли мертвым в квартире на университетском проспекте в москве, владел 13 единицами гражданского оружия, «в том числе нарезного, гладкоствольного и ограниченного поражения», сообщает тасс со ссылкой на пресс-службу росгвардии."
25,0,"украина собирается начать новое арбитражное разбирательство с «газпромом» по контракту на транзит газа. «нафтогаз» не устраивает, что «газпром» не полностью оплатил в мае законтрактованные мощности, хотя до этого украинская компания сама лишила монополию возможности использовать часть из них. по словам главы «нафтогаза» юрия витренко, будут также возобновлены разбирательства по иску к «газпрому» на $12 млрд, которые «нафтогаз» обязался прекратить в рамках договоренностей конца 2019 года. эксперты отмечают, что спор политизирован, его рассмотрение в арбитраже может затянуться не на один год, а итоговое решение может быть невозможно исполнить."
26,0,"по данным “ъ”, siemens energy 24 июля передала «газпрому» экспортную лицензию канады, позволяющую ремонтировать и транспортировать газовые турбины для «северного потока». теперь, чтобы siemens могла ввезти турбину в россию, «газпром» должен изменить базис доставки машины с канадского монреаля на конечный пункт в рф. из-за бумажных проволочек турбина уже пропустила паром, которым должна была уйти из германии в хельсинки 23 июля. если стороны успешно обменяются документами, транспортировка машины может произойти в ближайшие несколько дней. но источники “ъ” сомневаются, что доставка турбины приведет к росту прокачки по «северному потоку»: еще несколько машин нуждаются в ремонте."
27,0,"по данным “ъ”, siemens energy 24 июля передала «газпрому» экспортную лицензию канады, позволяющую ремонтировать и транспортировать газовые турбины для «северного потока». теперь, чтобы siemens могла ввезти турбину в россию, «газпром» должен изменить базис доставки машины с канадского монреаля на конечный пункт в рф. из-за бумажных проволочек турбина уже пропустила паром, которым должна была уйти из германии в хельсинки 23 июля. если стороны успешно обменяются документами, транспортировка машины может произойти в ближайшие несколько дней. но источники “ъ” сомневаются, что доставка турбины приведет к росту прокачки по «северному потоку»: еще несколько машин нуждаются в ремонте."
28,0,"объявленный украиной форс-мажор по транзиту российского газа через пункт сохрановка ставит вопрос о том, продолжит ли «газпром» платить киеву за транзит в полном объеме. по условиям контракта «газпром» обязан платить украине за мощности по прокачке 109,5 млн кубометров в сутки, но теперь компания не может воспользоваться 30% забронированных мощностей. глава «нафтогаза украины» юрий витренко заявил, что «газпром» все равно должен платить за транзит полностью."
29,1,экс-президент сша дональд трамп отказался возвращаться в twitter после покупки компании основателем tesla и space x илоном маском.
30,1,"бизнесмен, основатель tcs group (владеет тинькофф банком, «тинькофф страхованием» и другими активами) олег тиньков после продажи доли в группе объявил, что уходит на пенсию."
31,1,"«интеррос» выкупил долю олега тинькова в tcs group, контролирующей тинькофф-банк. две недели назад холдинг владимира потанина договорился о покупке другого крупного банка — росбанка у societe generale. источники “ъ” и эксперты отмечают, что, несмотря на «разные корпоративные культуры» банков, их бизнес хорошо дополняет друг друга, поэтому перспективным выглядит полное объединение. но для этого потребуется выкупать доли других акционеров tcs group, а также перевести ее в российскую юрисдикцию."
32,0,"ранее в китайском куньшане, где расположены заводы foxconn, была зафиксирована новая вспышка covid-19. в компании заверили, что приостановка работы не повлияет на производство продуктов apple"
33,0,"пао ""тгк-1"" приняло решение не публиковать финансовую отчетность по результатам первого полугодия 2022 года, говорится в сообщении компании."
34,1,"окружной судья штата сан-франциско джеймс донато отклонил иск бывшего президента сша дональда трампа против twitter, в котором оспаривалась блокировка аккаунта последнего, следует из письменного постановления судьи."
35,1,"решение суда касается телеканалов tht-comedy, tht4 international, friday international, khl tv и tnt music. теперь они могут продолжить работу в латвии, однако регулятор обещал обжаловать вердикт"
36,1,"решение суда касается телеканалов tht-comedy, tht4 international, friday international, khl tv и tnt music. теперь они могут продолжить работу в латвии, однако регулятор обещал обжаловать вердикт"
37,0,задержан топ-менеджер «аэрофлота» михаил минаев. он возглавляет департамент планирования воздушных судов
38,1,"самолет «аэрофлота» задержали в коломбо по требованию лизинговой компании еще 2 июня, более 200 пассажиров тогда сняли с рейса. воздешному судну разрешили вернуться в россию"
39,0,airbus a330 компании «аэрофлот» был задержан в международном аэропорту бандаранаике накануне по требованию ирландской лизинговой компаниии. суд коломбо запретил самолету покидать страну до 16 июня
40,1,"многие банки видят рост интереса магазинов и покупателей к платежам по qr-коду, в частности через систему цб. «китайский» способ оплаты набирает популярность в условиях, когда apple pay и google pay перестали работать в россии"
41,0,"ожидания выплаты дивидендов по акциям «газпрома» спровоцировали спекулятивную игру с этими ценными бумагами. в середине торговой сессии крупная заявка обвалила котировки почти на 13%, что даже развернуло индекс московской биржи. однако решение компании выплатить рекордные дивиденды вернуло котировки к максимальному значению с конца февраля. эксперты отмечают, что причиной колебаний могла быть манипуляция либо ошибка трейдера, усиленная технической продажей большого объема бумаг. в цб говорят о возможности начала расследования этой ситуации."
42,0,"сотрудники «аэрофлота» пожаловались на реформу блока по техобслуживанию, состоящего из 2 тыс. человек, — специалисты опасаются сокращений. перевозчик такой риск опровергает: в компании идет создание крупнейшего провайдера техуслуг"
